"Time (s) Run #2";"Angle (rad) Run #2";"Position (m) Run #2";"Magnetic Field Strength (100X) (T) Run #2"
0,000;0,014;3,9375E-4;3,7E-5
0,100;0,014;3,9375E-4;3,7E-5
0,200;0,014;3,9375E-4;3,7E-5
0,300;0,014;3,9375E-4;3,7E-5
0,400;0,014;3,9375E-4;3,7E-5
0,500;0,014;3,9375E-4;3,7E-5
0,600;0,014;3,9375E-4;3,7E-5
0,700;0,014;3,9375E-4;3,7E-5
0,800;0,014;3,9375E-4;3,7E-5
0,900;0,014;3,9375E-4;3,7E-5
1,000;0,014;3,9375E-4;3,7E-5
1,100;0,014;3,9375E-4;3,7E-5
1,200;0,014;3,9375E-4;3,7E-5
1,300;0,014;3,9375E-4;3,7E-5
1,400;0,014;3,9375E-4;3,7E-5
1,500;0,014;3,9375E-4;3,7E-5
1,600;0,014;3,9375E-4;3,7E-5
1,700;0,014;3,9375E-4;3,7E-5
1,800;0,014;3,9375E-4;3,7E-5
1,900;0,014;3,9375E-4;3,7E-5
2,000;0,014;3,9375E-4;3,7E-5
2,100;0,014;3,9375E-4;3,7E-5
2,200;0,014;3,9375E-4;3,7E-5
2,300;0,014;3,9375E-4;3,7E-5
2,400;0,014;3,9375E-4;3,7E-5
2,500;0,014;3,9375E-4;3,7E-5
2,600;0,014;3,9375E-4;3,7E-5
2,700;0,014;3,9375E-4;3,7E-5
2,800;0,014;3,9375E-4;3,7E-5
2,900;0,014;3,9375E-4;3,7E-5
3,000;0,014;3,9375E-4;3,7E-5
3,100;0,014;3,9375E-4;3,7E-5
3,200;0,014;3,9375E-4;3,7E-5
3,300;0,014;3,9375E-4;3,7E-5
3,400;0,014;3,9375E-4;3,7E-5
3,500;0,014;3,9375E-4;3,7E-5
3,600;0,014;3,9375E-4;3,7E-5
3,700;0,014;3,9375E-4;3,7E-5
3,800;0,014;3,9375E-4;3,7E-5
3,900;0,014;3,9375E-4;3,7E-5
4,000;0,014;3,9375E-4;3,7E-5
4,100;0,014;3,9375E-4;3,7E-5
4,200;0,014;3,9375E-4;3,7E-5
4,300;0,014;3,9375E-4;3,7E-5
4,400;0,014;3,9375E-4;3,7E-5
4,500;0,013;3,5000E-4;3,7E-5
4,600;0,011;3,0625E-4;3,7E-5
4,700;0,011;3,0625E-4;3,7E-5
4,800;0,011;3,0625E-4;3,7E-5
4,900;0,011;3,0625E-4;3,7E-5
5,000;0,011;3,0625E-4;3,7E-5
5,100;0,011;3,0625E-4;3,7E-5
5,200;0,011;3,0625E-4;3,7E-5
5,300;0,011;3,0625E-4;3,7E-5
5,400;0,009;2,6250E-4;3,7E-5
5,500;0,009;2,6250E-4;3,7E-5
5,600;0,009;2,6250E-4;3,7E-5
5,700;0,009;2,6250E-4;3,7E-5
5,800;0,009;2,6250E-4;3,7E-5
5,900;0,009;2,6250E-4;3,7E-5
6,000;0,008;2,1875E-4;3,7E-5
6,100;0,008;2,1875E-4;3,7E-5
