"Time (s) Run #1";"Angle (rad) Run #1";"Position (m) Run #1";"Magnetic Field Strength (100X) (T) Run #1"
0,000;0,003;8,7500E-5;2,5E-5
0,050;0,002;4,3750E-5;
0,100;0,002;4,3750E-5;2,5E-5
0,150;0,002;4,3750E-5;
0,200;0,002;4,3750E-5;2,5E-5
0,250;0,002;4,3750E-5;
0,300;0,002;4,3750E-5;2,5E-5
0,350;0,002;4,3750E-5;
0,400;0,002;4,3750E-5;2,5E-5
0,450;0,002;4,3750E-5;
0,500;0,002;4,3750E-5;2,5E-5
0,550;0,002;4,3750E-5;
0,600;0,002;4,3750E-5;2,5E-5
0,650;0,002;4,3750E-5;
0,700;0,002;4,3750E-5;2,5E-5
0,750;0,002;4,3750E-5;
0,800;0,002;4,3750E-5;2,5E-5
0,850;0,002;4,3750E-5;
0,900;0,002;4,3750E-5;2,5E-5
0,950;0,002;4,3750E-5;
1,000;0,002;4,3750E-5;2,5E-5
1,050;0,002;4,3750E-5;
1,100;0,002;4,3750E-5;2,5E-5
1,150;0,002;4,3750E-5;
1,200;0,002;4,3750E-5;2,5E-5
1,250;0,000;0,0000;
1,300;0,000;0,0000;2,5E-5
1,350;0,000;0,0000;
1,400;0,000;0,0000;2,5E-5
1,450;0,000;0,0000;
1,500;0,000;0,0000;2,5E-5
1,550;0,000;0,0000;
1,600;0,000;0,0000;2,5E-5
1,650;0,000;0,0000;
1,700;0,000;0,0000;2,5E-5
1,750;0,000;0,0000;
1,800;0,000;0,0000;2,5E-5
1,850;0,000;0,0000;
1,900;0,000;0,0000;2,5E-5
1,950;-0,002;-4,3750E-5;
2,000;-0,002;-4,3750E-5;2,5E-5
2,050;-0,002;-4,3750E-5;
2,100;-0,002;-4,3750E-5;2,5E-5
2,150;-0,003;-8,7500E-5;
2,200;-0,003;-8,7500E-5;2,5E-5
2,250;-0,006;-1,7500E-4;
2,300;-0,008;-2,1875E-4;2,5E-5
2,350;-0,011;-3,0625E-4;
2,400;-0,014;-3,9375E-4;2,5E-5
2,450;-0,022;-6,1250E-4;
2,500;-0,031;-8,7500E-4;2,5E-5
2,550;-0,042;-0,0012;
2,600;-0,055;-0,0015;2,5E-5
2,650;-0,066;-0,0018;
2,700;-0,072;-0,0020;2,5E-5
2,750;-0,079;-0,0022;
2,800;-0,082;-0,0023;2,5E-5
2,850;-0,088;-0,0024;
2,900;-0,099;-0,0028;2,5E-5
2,950;-0,116;-0,0032;
3,000;-0,140;-0,0039;2,5E-5
3,050;-0,168;-0,0047;
3,100;-0,203;-0,0056;2,4E-5
3,150;-0,243;-0,0068;
3,200;-0,283;-0,0079;2,4E-5
3,250;-0,322;-0,0090;
3,300;-0,357;-0,0099;2,4E-5
3,350;-0,385;-0,0107;
3,400;-0,408;-0,0114;2,3E-5
