"Time (s) Run #1";"Angle (rad) Run #1";"Position (m) Run #1";"Magnetic Field Strength (100X) (T) Run #1";"Time (s) Run #3";"Angle (rad) Run #3";"Position (m) Run #3";"Magnetic Field Strength (100X) (T) Run #3";"Time (s) Run #4";"Angle (rad) Run #4";"Position (m) Run #4";"Magnetic Field Strength (100X) (T) Run #4";"Time (s) Run #5";"Angle (rad) Run #5";"Position (m) Run #5";"Magnetic Field Strength (100X) (T) Run #5";"Time (s) Run #6";"Angle (rad) Run #6";"Position (m) Run #6";"Magnetic Field Strength (100X) (T) Run #6";"Time (s) Run #7";"Angle (rad) Run #7";"Position (m) Run #7";"Magnetic Field Strength (100X) (T) Run #7";"Time (s) Run #8";"Angle (rad) Run #8";"Position (m) Run #8";"Magnetic Field Strength (100X) (T) Run #8"
0.000;0.003;8.7500E-5;2.5E-5;0.000;0.049;0.0014;1.7E-5;0.000;-0.008;-2.1875E-4;3.1E-6;0.000;0.000;0.0000;3.7E-5;0.000;-0.003;-8.7500E-5;3.2E-6;0.000;-0.005;-1.3125E-4;4.7E-5;0.000;0.000;0.0000;8.8E-7
0.050;0.002;4.3750E-5;;0.100;0.049;0.0014;1.7E-5;0.100;-0.008;-2.1875E-4;3.1E-6;0.100;0.000;0.0000;3.7E-5;0.100;-0.003;-8.7500E-5;3.2E-6;0.100;-0.005;-1.3125E-4;4.7E-5;0.100;0.000;0.0000;8.6E-7
0.100;0.002;4.3750E-5;2.5E-5;0.200;0.049;0.0014;1.7E-5;0.200;-0.008;-2.1875E-4;3.1E-6;0.200;0.000;0.0000;3.7E-5;0.200;-0.005;-1.3125E-4;3.2E-6;0.200;-0.006;-1.7500E-4;4.7E-5;0.200;0.000;0.0000;8.3E-7
0.150;0.002;4.3750E-5;;0.300;0.049;0.0014;1.7E-5;0.300;-0.008;-2.1875E-4;3.1E-6;0.300;0.000;0.0000;3.7E-5;0.300;-0.005;-1.3125E-4;3.3E-6;0.300;-0.006;-1.7500E-4;4.7E-5;0.300;0.000;0.0000;8.4E-7
0.200;0.002;4.3750E-5;2.5E-5;0.400;0.049;0.0014;1.7E-5;0.400;-0.008;-2.1875E-4;3.0E-6;0.400;-0.002;-4.3750E-5;3.7E-5;0.400;-0.006;-1.7500E-4;3.2E-6;0.400;-0.006;-1.7500E-4;4.7E-5;0.400;0.000;0.0000;8.7E-7
0.250;0.002;4.3750E-5;;0.500;0.049;0.0014;1.7E-5;0.500;-0.008;-2.1875E-4;3.1E-6;0.500;-0.002;-4.3750E-5;3.7E-5;0.500;-0.006;-1.7500E-4;3.2E-6;0.500;-0.006;-1.7500E-4;4.7E-5;0.500;0.000;0.0000;8.1E-7
0.300;0.002;4.3750E-5;2.5E-5;0.600;0.049;0.0014;1.7E-5;0.600;-0.008;-2.1875E-4;3.1E-6;0.600;-0.002;-4.3750E-5;3.7E-5;0.600;-0.006;-1.7500E-4;3.3E-6;0.600;-0.008;-2.1875E-4;4.7E-5;0.600;0.000;0.0000;8.1E-7
0.350;0.002;4.3750E-5;;0.700;0.049;0.0014;1.7E-5;0.700;-0.009;-2.6250E-4;3.1E-6;0.700;-0.002;-4.3750E-5;3.7E-5;0.700;-0.008;-2.1875E-4;3.3E-6;0.700;-0.008;-2.1875E-4;4.7E-5;0.700;0.000;0.0000;8.4E-7
0.400;0.002;4.3750E-5;2.5E-5;0.800;0.047;0.0013;1.7E-5;0.800;-0.009;-2.6250E-4;3.1E-6;0.800;-0.003;-8.7500E-5;3.7E-5;0.800;-0.013;-3.5000E-4;3.4E-6;0.800;-0.008;-2.1875E-4;4.7E-5;0.800;0.000;0.0000;8.4E-7
0.450;0.002;4.3750E-5;;0.900;0.046;0.0013;1.7E-5;0.900;-0.011;-3.0625E-4;3.1E-6;0.900;-0.003;-8.7500E-5;3.7E-5;0.900;-0.022;-6.1250E-4;3.6E-6;0.900;-0.003;-8.7500E-5;4.7E-5;0.900;-0.003;-8.7500E-5;7.9E-7
0.500;0.002;4.3750E-5;2.5E-5;1.000;0.046;0.0013;1.7E-5;1.000;-0.011;-3.0625E-4;3.1E-6;1.000;-0.003;-8.7500E-5;3.7E-5;1.000;-0.033;-9.1875E-4;3.7E-6;1.000;-0.005;-1.3125E-4;4.7E-5;1.000;-0.003;-8.7500E-5;8.4E-7
0.550;0.002;4.3750E-5;;1.100;0.046;0.0013;1.7E-5;1.100;-0.013;-3.5000E-4;3.1E-6;1.100;-0.003;-8.7500E-5;3.7E-5;1.100;-0.044;-0.0012;3.8E-6;1.100;-0.005;-1.3125E-4;4.7E-5;1.100;-0.005;-1.3125E-4;8.3E-7
0.600;0.002;4.3750E-5;2.5E-5;1.200;0.044;0.0012;1.7E-5;1.200;-0.014;-3.9375E-4;3.1E-6;1.200;-0.003;-8.7500E-5;3.7E-5;1.200;-0.044;-0.0012;3.9E-6;1.200;-0.005;-1.3125E-4;4.7E-5;1.200;-0.005;-1.3125E-4;8.2E-7
0.650;0.002;4.3750E-5;;1.300;0.044;0.0012;1.7E-5;1.300;-0.025;-7.0000E-4;3.2E-6;1.300;-0.005;-1.3125E-4;3.7E-5;1.300;-0.041;-0.0011;3.9E-6;1.300;-0.005;-1.3125E-4;4.7E-5;1.300;-0.005;-1.3125E-4;8.1E-7
0.700;0.002;4.3750E-5;2.5E-5;1.400;0.044;0.0012;1.7E-5;1.400;-0.046;-0.0013;3.5E-6;1.400;-0.005;-1.3125E-4;3.7E-5;1.400;-0.036;-0.0010;3.9E-6;1.400;-0.005;-1.3125E-4;4.7E-5;1.400;-0.006;-1.7500E-4;8.1E-7
0.750;0.002;4.3750E-5;;1.500;0.044;0.0012;1.7E-5;1.500;-0.080;-0.0022;3.9E-6;1.500;-0.017;-4.8125E-4;3.7E-5;1.500;-0.036;-0.0010;3.9E-6;1.500;-0.005;-1.3125E-4;4.7E-5;1.500;-0.008;-2.1875E-4;9.2E-7
0.800;0.002;4.3750E-5;2.5E-5;1.600;0.042;0.0012;1.7E-5;1.600;-0.126;-0.0035;4.3E-6;1.600;-0.055;-0.0015;3.7E-5;1.600;-0.036;-0.0010;3.9E-6;1.600;-0.005;-1.3125E-4;4.7E-5;1.600;-0.027;-7.4375E-4;1.3E-6
0.850;0.002;4.3750E-5;;1.700;0.042;0.0012;1.7E-5;1.700;-0.176;-0.0049;4.9E-6;1.700;-0.104;-0.0029;3.7E-5;1.700;-0.036;-0.0010;3.9E-6;1.700;-0.005;-1.3125E-4;4.7E-5;1.700;-0.091;-0.0025;2.3E-6
0.900;0.002;4.3750E-5;2.5E-5;1.800;0.042;0.0012;1.7E-5;1.800;-0.228;-0.0063;5.4E-6;1.800;-0.160;-0.0045;3.7E-5;1.800;-0.036;-0.0010;3.8E-6;1.800;-0.005;-1.3125E-4;4.7E-5;1.800;-0.203;-0.0056;3.8E-6
0.950;0.002;4.3750E-5;;1.900;0.041;0.0011;1.7E-5;1.900;-0.278;-0.0077;6.0E-6;1.900;-0.223;-0.0062;3.7E-5;1.900;-0.036;-0.0010;3.8E-6;1.900;0.000;-5.4210E-20;4.7E-5;1.900;-0.314;-0.0087;5.1E-6
1.000;0.002;4.3750E-5;2.5E-5;2.000;0.041;0.0011;1.7E-5;2.000;-0.327;-0.0091;6.5E-6;2.000;-0.286;-0.0080;3.7E-5;2.000;-0.036;-0.0010;3.8E-6;2.000;0.000;-5.4210E-20;4.7E-5;2.000;-0.412;-0.0115;6.1E-6
1.050;0.002;4.3750E-5;;2.100;0.039;0.0011;1.7E-5;2.100;-0.377;-0.0105;7.0E-6;2.100;-0.344;-0.0096;3.7E-5;2.100;-0.036;-0.0010;3.8E-6;2.100;0.000;-5.4210E-20;4.7E-5;2.100;-0.517;-0.0144;7.1E-6
1.100;0.002;4.3750E-5;2.5E-5;2.200;0.036;0.0010;1.7E-5;2.200;-0.432;-0.0120;7.6E-6;2.200;-0.415;-0.0115;3.7E-5;2.200;-0.036;-0.0010;3.8E-6;2.200;0.000;-5.4210E-20;4.7E-5;2.200;-0.606;-0.0169;7.8E-6
1.150;0.002;4.3750E-5;;2.300;0.033;9.1875E-4;1.7E-5;2.300;-0.492;-0.0137;8.3E-6;2.300;-0.493;-0.0137;3.6E-5;2.300;-0.036;-0.0010;3.7E-6;2.300;-0.002;-4.3750E-5;4.7E-5;2.300;-0.672;-0.0187;8.4E-6
1.200;0.002;4.3750E-5;2.5E-5;2.400;0.024;6.5625E-4;1.7E-5;2.400;-0.561;-0.0156;9.1E-6;2.400;-0.587;-0.0164;3.6E-5;2.400;-0.036;-0.0010;3.8E-6;2.400;-0.002;-4.3750E-5;4.7E-5;2.400;-0.729;-0.0203;8.8E-6
1.250;0.000;0.0000;;2.500;0.003;8.7500E-5;1.7E-5;2.500;-0.630;-0.0175;9.9E-6;2.500;-0.691;-0.0193;3.6E-5;2.500;-0.036;-0.0010;3.8E-6;2.500;-0.003;-8.7500E-5;4.7E-5;2.500;-0.773;-0.0215;9.0E-6
1.300;0.000;0.0000;2.5E-5;2.600;-0.025;-7.0000E-4;1.7E-5;2.600;-0.697;-0.0194;1.1E-5;2.600;-0.796;-0.0222;3.6E-5;2.600;-0.036;-0.0010;3.8E-6;2.600;-0.003;-8.7500E-5;4.7E-5;2.600;-0.814;-0.0227;9.3E-6
1.350;0.000;0.0000;;2.700;-0.057;-0.0016;1.7E-5;2.700;-0.776;-0.0216;1.1E-5;2.700;-0.906;-0.0252;3.5E-5;2.700;-0.036;-0.0010;3.8E-6;2.700;-0.005;-1.3125E-4;4.7E-5;2.700;-0.866;-0.0241;9.6E-6
1.400;0.000;0.0000;2.5E-5;2.800;-0.091;-0.0025;1.7E-5;2.800;-0.856;-0.0238;1.2E-5;2.800;-1.012;-0.0282;3.5E-5;2.800;-0.036;-0.0010;3.8E-6;2.800;-0.005;-1.3125E-4;4.7E-5;2.800;-0.930;-0.0259;9.9E-6
1.450;0.000;0.0000;;2.900;-0.135;-0.0038;1.7E-5;2.900;-0.938;-0.0261;1.3E-5;2.900;-1.112;-0.0310;3.4E-5;2.900;-0.036;-0.0010;3.8E-6;2.900;-0.005;-1.3125E-4;4.7E-5;2.900;-0.996;-0.0277;1.0E-5
1.500;0.000;0.0000;2.5E-5;3.000;-0.187;-0.0052;1.7E-5;3.000;-1.018;-0.0284;1.4E-5;3.000;-1.214;-0.0338;3.4E-5;3.000;-0.038;-0.0011;3.8E-6;3.000;-0.006;-1.7500E-4;4.7E-5;3.000;-1.062;-0.0296;1.0E-5
1.550;0.000;0.0000;;3.100;-0.240;-0.0067;1.7E-5;3.100;-1.096;-0.0305;1.5E-5;3.100;-1.321;-0.0368;3.3E-5;3.100;-0.039;-0.0011;3.8E-6;3.100;-0.006;-1.7500E-4;4.7E-5;3.100;-1.131;-0.0315;1.1E-5
1.600;0.000;0.0000;2.5E-5;3.200;-0.298;-0.0083;1.7E-5;3.200;-1.170;-0.0326;1.6E-5;3.200;-1.440;-0.0401;3.2E-5;3.200;-0.041;-0.0011;3.9E-6;3.200;-0.008;-2.1875E-4;4.7E-5;3.200;-1.203;-0.0335;1.1E-5
1.650;0.000;0.0000;;3.300;-0.361;-0.0101;1.7E-5;3.300;-1.253;-0.0349;1.7E-5;3.300;-1.563;-0.0435;3.1E-5;3.300;-0.049;-0.0014;4.1E-6;3.300;-0.011;-3.0625E-4;4.7E-5;3.300;-1.279;-0.0356;1.1E-5
1.700;0.000;0.0000;2.5E-5;3.400;-0.426;-0.0119;1.7E-5;3.400;-1.343;-0.0374;1.8E-5;3.400;-1.685;-0.0469;3.0E-5;3.400;-0.077;-0.0021;4.7E-6;3.400;-0.020;-5.6875E-4;4.7E-5;3.400;-1.365;-0.0380;1.1E-5
1.750;0.000;0.0000;;3.500;-0.495;-0.0138;1.8E-5;3.500;-1.428;-0.0398;1.9E-5;3.500;-1.810;-0.0504;2.8E-5;3.500;-0.137;-0.0038;5.7E-6;3.500;-0.044;-0.0012;4.7E-5;3.500;-1.469;-0.0409;1.1E-5
1.800;0.000;0.0000;2.5E-5;3.600;-0.573;-0.0160;1.8E-5;3.600;-1.513;-0.0421;1.9E-5;3.600;-1.937;-0.0539;2.7E-5;3.600;-0.206;-0.0057;6.7E-6;3.600;-0.088;-0.0025;4.7E-5;3.600;-1.576;-0.0439;1.0E-5
1.850;0.000;0.0000;;3.700;-0.660;-0.0184;1.8E-5;3.700;-1.615;-0.0450;2.0E-5;3.700;-2.059;-0.0574;2.6E-5;3.700;-0.256;-0.0071;7.5E-6;3.700;-0.135;-0.0038;4.7E-5;3.700;-1.684;-0.0469;1.0E-5
1.900;0.000;0.0000;2.5E-5;3.800;-0.749;-0.0209;1.9E-5;3.800;-1.728;-0.0481;2.1E-5;3.800;-2.171;-0.0605;2.4E-5;3.800;-0.300;-0.0084;8.2E-6;3.800;-0.188;-0.0052;4.7E-5;3.800;-1.786;-0.0497;9.9E-6
1.950;-0.002;-4.3750E-5;;3.900;-0.840;-0.0234;1.9E-5;3.900;-1.839;-0.0512;2.2E-5;3.900;-2.262;-0.0630;2.4E-5;3.900;-0.344;-0.0096;8.8E-6;3.900;-0.242;-0.0067;4.7E-5;3.900;-1.888;-0.0526;9.6E-6
2.000;-0.002;-4.3750E-5;2.5E-5;4.000;-0.947;-0.0264;2.0E-5;4.000;-1.954;-0.0544;2.3E-5;4.000;-2.347;-0.0654;2.3E-5;4.000;-0.402;-0.0112;9.8E-6;4.000;-0.303;-0.0084;4.6E-5;4.000;-1.993;-0.0555;9.2E-6
2.050;-0.002;-4.3750E-5;;4.100;-1.067;-0.0297;2.0E-5;4.100;-2.062;-0.0574;2.3E-5;4.100;-2.425;-0.0675;2.2E-5;4.100;-0.479;-0.0133;1.1E-5;4.100;-0.364;-0.0101;4.6E-5;4.100;-2.103;-0.0586;8.7E-6
2.100;-0.002;-4.3750E-5;2.5E-5;4.200;-1.195;-0.0333;2.1E-5;4.200;-2.157;-0.0601;2.3E-5;4.200;-2.498;-0.0696;2.1E-5;4.200;-0.567;-0.0158;1.2E-5;4.200;-0.437;-0.0122;4.6E-5;4.200;-2.223;-0.0619;8.3E-6
2.150;-0.003;-8.7500E-5;;4.300;-1.321;-0.0368;2.2E-5;4.300;-2.238;-0.0623;2.4E-5;4.300;-2.565;-0.0714;2.0E-5;4.300;-0.672;-0.0187;1.3E-5;4.300;-0.518;-0.0144;4.5E-5;4.300;-2.348;-0.0654;7.8E-6
2.200;-0.003;-8.7500E-5;2.5E-5;4.400;-1.431;-0.0399;2.2E-5;4.400;-2.309;-0.0643;2.4E-5;4.400;-2.634;-0.0734;2.0E-5;4.400;-0.787;-0.0219;1.5E-5;4.400;-0.598;-0.0167;4.4E-5;4.400;-2.469;-0.0688;7.4E-6
2.250;-0.006;-1.7500E-4;;4.500;-1.517;-0.0423;2.3E-5;4.500;-2.373;-0.0661;2.4E-5;4.500;-2.708;-0.0754;1.9E-5;4.500;-0.900;-0.0251;1.6E-5;4.500;-0.675;-0.0188;4.4E-5;4.500;-2.582;-0.0719;6.9E-6
2.300;-0.008;-2.1875E-4;2.5E-5;4.600;-1.598;-0.0445;2.4E-5;4.600;-2.441;-0.0680;2.4E-5;4.600;-2.782;-0.0775;1.8E-5;4.600;-1.013;-0.0282;1.6E-5;4.600;-0.743;-0.0207;4.3E-5;4.600;-2.691;-0.0749;6.5E-6
2.350;-0.011;-3.0625E-4;;4.700;-1.670;-0.0465;2.4E-5;4.700;-2.512;-0.0700;2.4E-5;4.700;-2.859;-0.0796;1.7E-5;4.700;-1.123;-0.0313;1.7E-5;4.700;-0.796;-0.0222;4.3E-5;4.700;-2.794;-0.0778;6.2E-6
2.400;-0.014;-3.9375E-4;2.5E-5;4.800;-1.728;-0.0481;2.4E-5;4.800;-2.589;-0.0721;2.4E-5;4.800;-2.945;-0.0820;1.7E-5;4.800;-1.230;-0.0343;1.7E-5;4.800;-0.844;-0.0235;4.2E-5;4.800;-2.897;-0.0807;5.8E-6
