"Angle (rad) Run #3";"Position (m) Run #3";"Magnetic Field Strength (100X) (T) Run #3"
0.049;0.0014;1.7E-5
0.049;0.0014;1.7E-5
0.049;0.0014;1.7E-5
0.049;0.0014;1.7E-5
0.049;0.0014;1.7E-5
0.049;0.0014;1.7E-5
0.049;0.0014;1.7E-5
0.049;0.0014;1.7E-5
0.047;0.0013;1.7E-5
0.046;0.0013;1.7E-5
0.046;0.0013;1.7E-5
0.046;0.0013;1.7E-5
0.044;0.0012;1.7E-5
0.044;0.0012;1.7E-5
0.044;0.0012;1.7E-5
0.044;0.0012;1.7E-5
0.042;0.0012;1.7E-5
0.042;0.0012;1.7E-5
0.042;0.0012;1.7E-5
0.041;0.0011;1.7E-5
0.041;0.0011;1.7E-5
0.039;0.0011;1.7E-5
0.036;0.0010;1.7E-5
0.033;9.1875E-4;1.7E-5
0.024;6.5625E-4;1.7E-5
0.003;8.7500E-5;1.7E-5
-0.025;-7.0000E-4;1.7E-5
-0.057;-0.0016;1.7E-5
-0.091;-0.0025;1.7E-5
-0.135;-0.0038;1.7E-5
-0.187;-0.0052;1.7E-5
-0.240;-0.0067;1.7E-5
-0.298;-0.0083;1.7E-5
-0.361;-0.0101;1.7E-5
-0.426;-0.0119;1.7E-5
-0.495;-0.0138;1.8E-5
-0.573;-0.0160;1.8E-5
-0.660;-0.0184;1.8E-5
-0.749;-0.0209;1.9E-5
-0.840;-0.0234;1.9E-5
-0.947;-0.0264;2.0E-5
-1.067;-0.0297;2.0E-5
-1.195;-0.0333;2.1E-5
-1.321;-0.0368;2.2E-5
-1.431;-0.0399;2.2E-5
-1.517;-0.0423;2.3E-5
-1.598;-0.0445;2.4E-5
-1.670;-0.0465;2.4E-5
-1.728;-0.0481;2.4E-5
-1.781;-0.0496;2.5E-5
-1.855;-0.0517;2.5E-5
-1.951;-0.0543;2.6E-5
-2.055;-0.0572;2.6E-5
-2.150;-0.0599;2.6E-5
-2.235;-0.0623;2.7E-5
-2.301;-0.0641;2.7E-5
-2.355;-0.0656;2.7E-5
-2.408;-0.0671;2.7E-5
-2.465;-0.0686;2.7E-5
-2.537;-0.0707;2.7E-5
-2.625;-0.0731;2.7E-5
-2.728;-0.0760;2.6E-5
-2.854;-0.0795;2.6E-5
-3.005;-0.0837;2.5E-5
-3.181;-0.0886;2.4E-5
-3.363;-0.0937;2.3E-5
-3.544;-0.0987;2.1E-5
-3.715;-0.1035;2.0E-5
-3.875;-0.1079;1.8E-5
-4.021;-0.1120;1.7E-5
-4.147;-0.1155;1.6E-5
-4.257;-0.1186;1.5E-5
-4.357;-0.1214;1.4E-5
-4.458;-0.1242;1.3E-5
-4.551;-0.1267;1.2E-5
-4.631;-0.1290;1.2E-5
-4.714;-0.1313;1.1E-5
-4.794;-0.1335;1.1E-5
-4.869;-0.1356;1.0E-5
-4.957;-0.1381;9.7E-6
-5.049;-0.1406;9.1E-6
-5.146;-0.1433;8.5E-6
-5.257;-0.1464;7.9E-6
-5.361;-0.1493;7.4E-6
-5.441;-0.1515;7.1E-6
-5.520;-0.1537;6.7E-6
-5.611;-0.1563;6.3E-6
-5.716;-0.1592;5.9E-6
-5.831;-0.1624;5.4E-6
-5.950;-0.1657;5.0E-6
-6.068;-0.1690;4.6E-6
-6.187;-0.1723;4.2E-6
-6.302;-0.1755;3.9E-6
-6.401;-0.1783;3.7E-6
-6.495;-0.1809;3.4E-6
-6.585;-0.1834;3.2E-6
-6.668;-0.1857;3.0E-6
-6.747;-0.1879;2.8E-6
-6.819;-0.1899;2.6E-6
-6.893;-0.1920;2.5E-6
-6.970;-0.1941;2.3E-6
-7.043;-0.1962;2.2E-6
-7.108;-0.1980;2.1E-6
-7.168;-0.1996;2.0E-6
-7.230;-0.2014;1.9E-6
-7.298;-0.2033;1.8E-6
-7.359;-0.2050;1.7E-6
-7.417;-0.2066;1.7E-6
-7.474;-0.2082;1.5E-6
-7.524;-0.2096;1.5E-6
-7.563;-0.2107;1.4E-6
-7.596;-0.2116;1.4E-6
-7.628;-0.2124;1.3E-6
-7.661;-0.2134;1.3E-6
-7.697;-0.2144;1.3E-6
-7.730;-0.2153;1.3E-6
-7.747;-0.2158;1.2E-6
-7.753;-0.2159;1.2E-6
-7.753;-0.2159;1.2E-6
-7.752;-0.2159;1.2E-6
-7.749;-0.2158;1.3E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.3E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.749;-0.2158;1.2E-6
-7.747;-0.2158;1.2E-6
-7.747;-0.2158;1.2E-6
-7.747;-0.2158;1.2E-6
-7.747;-0.2158;1.2E-6
-7.747;-0.2158;1.2E-6
-7.747;-0.2158;1.2E-6
-7.746;-0.2157;1.2E-6
-7.746;-0.2157;1.2E-6
-7.744;-0.2157;1.2E-6
-7.742;-0.2156;1.1E-6
-7.736;-0.2155;1.2E-6
-7.728;-0.2152;1.2E-6
-7.713;-0.2148;1.2E-6
-7.689;-0.2142;1.2E-6
-7.661;-0.2134;1.3E-6
-7.623;-0.2123;1.3E-6
-7.576;-0.2110;1.4E-6
-7.516;-0.2093;1.5E-6
-7.449;-0.2075;1.6E-6
-7.381;-0.2056;1.7E-6
-7.307;-0.2035;1.8E-6
-7.234;-0.2015;2.0E-6
-7.155;-0.1993;2.1E-6
-7.065;-0.1968;2.2E-6
-6.966;-0.1940;2.4E-6
-6.866;-0.1912;2.5E-6
-6.769;-0.1885;2.7E-6
-6.673;-0.1858;2.9E-6
-6.583;-0.1834;3.2E-6
-6.502;-0.1811;3.4E-6
-6.426;-0.1790;3.6E-6
-6.348;-0.1768;3.8E-6
-6.267;-0.1746;4.0E-6
-6.181;-0.1722;4.3E-6
-6.099;-0.1699;4.5E-6
-6.021;-0.1677;4.7E-6
-5.947;-0.1656;5.0E-6
-5.878;-0.1637;5.2E-6
-5.804;-0.1617;5.6E-6
-5.719;-0.1593;5.9E-6
-5.627;-0.1567;6.2E-6
-5.537;-0.1542;6.6E-6
-5.452;-0.1519;7.0E-6
-5.369;-0.1495;7.4E-6
-5.292;-0.1474;7.8E-6
-5.217;-0.1453;8.2E-6
-5.133;-0.1430;8.7E-6
-5.036;-0.1403;9.3E-6
-4.923;-0.1371;1.0E-5
-4.796;-0.1336;1.1E-5
-4.659;-0.1298;1.2E-5
-4.519;-0.1259;1.3E-5
-4.368;-0.1217;1.4E-5
-4.208;-0.1172;1.6E-5
-4.037;-0.1124;1.7E-5
-3.866;-0.1077;1.9E-5
-3.702;-0.1031;2.0E-5
-3.553;-0.0990;2.2E-5
-3.416;-0.0952;2.3E-5
-3.285;-0.0915;2.4E-5
-3.159;-0.0880;2.5E-5
-3.033;-0.0845;2.5E-5
-2.912;-0.0811;2.6E-5
-2.790;-0.0777;2.6E-5
-2.658;-0.0740;2.7E-5
-2.518;-0.0701;2.7E-5
-2.381;-0.0663;2.7E-5
-2.259;-0.0629;2.7E-5
-2.161;-0.0602;2.6E-5
-2.080;-0.0579;2.6E-5
-1.998;-0.0556;2.6E-5
-1.910;-0.0532;2.5E-5
-1.810;-0.0504;2.5E-5
-1.689;-0.0470;2.4E-5
-1.560;-0.0434;2.3E-5
-1.423;-0.0396;2.2E-5
-1.280;-0.0357;2.1E-5
-1.129;-0.0315;2.1E-5
-0.972;-0.0271;2.0E-5
-0.814;-0.0227;1.9E-5
-0.664;-0.0185;1.8E-5
-0.520;-0.0145;1.8E-5
-0.382;-0.0106;1.7E-5
-0.248;-0.0069;1.7E-5
-0.124;-0.0035;1.7E-5
0.003;8.7500E-5;1.7E-5
0.143;0.0040;1.7E-5
0.278;0.0077;1.7E-5
0.402;0.0112;1.7E-5
0.515;0.0144;1.8E-5
0.624;0.0174;1.8E-5
0.730;0.0203;1.8E-5
0.837;0.0233;1.9E-5
0.933;0.0260;1.9E-5
1.021;0.0284;2.0E-5
1.089;0.0303;2.0E-5
1.155;0.0322;2.0E-5
1.224;0.0341;2.1E-5
1.302;0.0363;2.1E-5
1.395;0.0389;2.2E-5
1.491;0.0415;2.3E-5
1.604;0.0447;2.4E-5
1.723;0.0480;2.4E-5
1.843;0.0513;2.5E-5
1.962;0.0546;2.6E-5
2.084;0.0581;2.6E-5
2.216;0.0617;2.7E-5
2.344;0.0653;2.7E-5
2.465;0.0686;2.7E-5
2.586;0.0720;2.7E-5
2.706;0.0754;2.7E-5
2.834;0.0789;2.6E-5
2.956;0.0823;2.6E-5
3.074;0.0856;2.5E-5
3.179;0.0886;2.4E-5
3.269;0.0910;2.4E-5
3.352;0.0934;2.3E-5
3.435;0.0957;2.2E-5
3.519;0.0980;2.2E-5
3.599;0.1002;2.1E-5
3.682;0.1026;2.0E-5
3.765;0.1049;1.9E-5
3.839;0.1069;1.9E-5
3.922;0.1092;1.8E-5
4.010;0.1117;1.7E-5
4.092;0.1140;1.7E-5
4.167;0.1161;1.6E-5
4.254;0.1185;1.5E-5
4.337;0.1208;1.4E-5
4.420;0.1231;1.4E-5
4.514;0.1257;1.3E-5
4.613;0.1285;1.2E-5
4.716;0.1313;1.1E-5
4.802;0.1337;1.1E-5
4.880;0.1359;1.0E-5
4.967;0.1383;9.8E-6
5.063;0.1410;9.2E-6
5.160;0.1437;8.6E-6
5.262;0.1466;8.0E-6
5.374;0.1497;7.4E-6
5.479;0.1526;6.9E-6
5.589;0.1557;6.4E-6
5.708;0.1590;5.9E-6
5.828;0.1623;5.4E-6
5.947;0.1656;5.0E-6
6.073;0.1691;4.6E-6
6.194;0.1725;4.2E-6
6.308;0.1757;3.9E-6
6.406;0.1784;3.6E-6
6.481;0.1805;3.4E-6
6.555;0.1826;3.3E-6
6.629;0.1846;3.1E-6
6.710;0.1869;2.9E-6
6.791;0.1891;2.7E-6
6.872;0.1914;2.6E-6
6.957;0.1938;2.4E-6
7.032;0.1959;2.3E-6
7.106;0.1979;2.2E-6
7.174;0.1998;2.0E-6
7.248;0.2019;1.9E-6
7.332;0.2042;1.8E-6
7.413;0.2065;1.7E-6
7.499;0.2089;1.6E-6
7.567;0.2107;1.5E-6
7.633;0.2126;1.4E-6
7.702;0.2145;1.4E-6
7.775;0.2166;1.2E-6
7.854;0.2188;1.1E-6
7.937;0.2211;9.8E-7
8.024;0.2235;8.8E-7
8.101;0.2256;8.3E-7
8.163;0.2274;7.6E-7
8.218;0.2289;7.9E-7
8.283;0.2307;7.0E-7
8.350;0.2326;6.3E-7
8.416;0.2344;5.9E-7
8.487;0.2364;5.4E-7
8.564;0.2385;4.5E-7
8.639;0.2406;4.1E-7
8.696;0.2422;3.1E-7
8.745;0.2436;2.6E-7
8.793;0.2449;2.8E-7
8.818;0.2456;2.5E-7
8.822;0.2457;3.1E-7
8.833;0.2460;2.4E-7
8.858;0.2467;2.6E-7
8.859;0.2468;2.2E-7
8.858;0.2467;2.4E-7
8.858;0.2467;3.0E-7
8.856;0.2467;2.9E-7
8.855;0.2466;3.0E-7
8.856;0.2467;3.0E-7
8.856;0.2467;2.8E-7
8.856;0.2467;2.1E-7
8.856;0.2467;2.1E-7
8.856;0.2467;1.8E-7
8.856;0.2467;2.3E-7
8.856;0.2467;2.1E-7
8.856;0.2467;1.8E-7
8.856;0.2467;1.6E-7
8.856;0.2467;1.9E-7
8.856;0.2467;2.2E-7
8.856;0.2467;2.3E-7
8.856;0.2467;1.9E-7
8.856;0.2467;1.8E-7
8.856;0.2467;1.9E-7
8.856;0.2467;2.1E-7
8.856;0.2467;2.2E-7
8.856;0.2467;2.6E-7
8.856;0.2467;2.6E-7
8.856;0.2467;2.3E-7
8.856;0.2467;2.4E-7
8.856;0.2467;2.2E-7
8.856;0.2467;2.2E-7
8.856;0.2467;2.3E-7
