"Time (s) Run #9";"Angle (rad) Run #9";"Magnetic Field Strength (100X) (T) Run #9"
0,000;-1,005;1,7E-7
0,100;-1,013;1,9E-7
0,200;-1,016;1,7E-7
0,300;-1,027;2,1E-7
0,400;-1,027;1,9E-7
0,500;-1,034;1,5E-7
0,600;-1,021;1,4E-7
0,700;-0,999;1,6E-7
0,800;-0,966;1,0E-7
0,900;-0,933;1,3E-7
1,000;-0,894;2,0E-7
1,100;-0,861;1,6E-7
1,200;-0,823;1,4E-7
1,300;-0,789;1,5E-7
1,400;-0,763;2,1E-7
1,500;-0,730;2,3E-7
1,600;-0,683;2,5E-7
1,700;-0,635;2,5E-7
1,800;-0,564;2,4E-7
1,900;-0,520;2,6E-7
2,000;-0,492;2,4E-7
2,100;-0,463;2,7E-7
2,200;-0,426;2,5E-7
2,300;-0,379;2,6E-7
2,400;-0,330;2,5E-7
2,500;-0,275;2,1E-7
2,600;-0,221;2,4E-7
2,700;-0,174;2,2E-7
2,800;-0,143;2,4E-7
2,900;-0,113;2,5E-7
3,000;-0,091;2,8E-7
3,100;-0,063;2,0E-7
3,200;-0,031;1,8E-7
3,300;0,008;1,6E-7
3,400;0,033;1,8E-7
3,500;0,055;1,5E-7
3,600;0,079;1,6E-7
3,700;0,105;1,4E-7
3,800;0,146;1,8E-7
3,900;0,188;1,7E-7
4,000;0,223;1,3E-7
4,100;0,243;1,4E-7
4,200;0,265;1,2E-7
4,300;0,281;1,1E-7
4,400;0,313;1,1E-7
4,500;0,344;1,1E-7
4,600;0,375;1,0E-7
4,700;0,404;1,1E-7
4,800;0,443;8,5E-8
4,900;0,484;8,8E-8
5,000;0,522;8,6E-8
5,100;0,576;2,4E-9
5,200;0,620;2,0E-8
5,300;0,663;1,3E-8
5,400;0,701;-1,9E-8
5,500;0,737;-1,5E-8
5,600;0,789;3,8E-8
5,700;0,837;4,5E-8
5,800;0,894;3,4E-8
5,900;0,953;-3,1E-8
6,000;0,997;-2,8E-8
6,100;1,035;-2,5E-8
6,200;1,100;-1,7E-8
6,300;1,145;-9,1E-9
6,400;1,203;3,7E-8
6,500;1,258;6,0E-8
6,600;1,283;5,5E-8
6,700;1,343;4,0E-8
6,800;1,373;2,4E-8
6,900;1,389;5,3E-8
7,000;1,406;9,5E-8
7,100;1,422;9,1E-8
7,200;1,425;1,2E-7
7,300;1,429;1,2E-7
7,400;1,491;6,7E-8
7,500;1,510;9,4E-8
7,600;1,492;9,1E-8
7,700;1,514;9,9E-8
7,800;1,525;1,3E-7
7,900;1,528;1,8E-7
8,000;1,536;2,3E-7
8,100;1,535;2,1E-7
8,200;1,561;2,1E-7
8,300;1,558;2,7E-7
8,400;1,596;2,7E-7
8,500;1,610;2,4E-7
8,600;1,596;2,7E-7
8,700;1,604;2,5E-7
8,800;1,590;2,6E-7
8,900;1,583;2,7E-7
9,000;1,577;2,6E-7
9,100;1,602;2,5E-7
9,200;1,681;2,0E-7
9,300;1,701;2,7E-7
9,400;1,709;2,6E-7
9,500;1,745;2,6E-7
9,600;1,808;2,8E-7
9,700;1,860;3,1E-7
9,800;1,901;3,1E-7
9,900;1,929;2,9E-7
10,000;1,946;2,9E-7
10,100;1,971;2,5E-7
10,200;2,012;2,5E-7
10,300;2,048;2,3E-7
10,400;2,070;2,3E-7
10,500;2,095;2,5E-7
10,600;2,143;2,4E-7
10,700;2,212;2,8E-7
10,800;2,271;2,8E-7
10,900;2,314;2,6E-7
11,000;2,366;2,8E-7
11,100;2,433;2,9E-7
11,200;2,502;2,9E-7
11,300;2,575;2,7E-7
11,400;2,625;2,9E-7
11,500;2,666;2,5E-7
11,600;2,717;2,9E-7
11,700;2,779;3,2E-7
11,800;2,851;3,1E-7
11,900;2,889;3,0E-7
12,000;2,933;3,0E-7
12,100;2,961;3,0E-7
12,200;2,997;2,8E-7
12,300;3,050;2,7E-7
12,400;3,104;2,9E-7
12,500;3,145;2,8E-7
12,600;3,190;2,5E-7
12,700;3,248;2,2E-7
12,800;3,291;2,0E-7
12,900;3,347;3,0E-7
13,000;3,393;2,9E-7
13,100;3,435;2,8E-7
13,200;3,489;2,4E-7
13,300;3,559;2,2E-7
13,400;3,608;1,9E-7
13,500;3,666;2,3E-7
13,600;3,695;2,0E-7
13,700;3,737;2,0E-7
13,800;3,792;2,2E-7
13,900;3,850;2,2E-7
14,000;3,913;1,8E-7
14,100;3,990;1,8E-7
14,200;4,053;1,6E-7
14,300;4,122;1,5E-7
14,400;4,181;1,5E-7
14,500;4,334;1,9E-7
14,600;4,375;1,5E-7
14,700;4,445;1,5E-7
14,800;4,500;1,3E-7
14,900;4,555;9,0E-8
15,000;4,617;9,9E-8
15,100;4,684;1,8E-7
15,200;4,747;1,9E-7
15,300;4,805;2,1E-7
15,400;4,863;1,9E-7
15,500;4,918;2,0E-7
15,600;4,968;2,2E-7
15,700;5,016;1,8E-7
15,800;5,063;2,2E-7
15,900;5,097;2,2E-7
16,000;5,121;2,0E-7
16,100;5,144;2,2E-7
16,200;5,169;1,8E-7
16,300;5,201;1,3E-7
16,400;5,221;1,4E-7
16,500;5,259;9,7E-8
16,600;5,294;1,2E-7
16,700;5,319;8,9E-8
16,800;5,336;1,2E-7
16,900;5,352;1,0E-7
17,000;5,369;7,3E-8
17,100;5,361;6,2E-8
17,200;5,347;3,9E-8
17,300;5,336;7,4E-8
17,400;5,328;1,0E-7
17,500;5,328;1,0E-7
17,600;5,327;1,3E-7
17,700;5,327;1,4E-7
17,800;5,325;1,3E-7
17,900;5,323;1,4E-7
18,000;5,325;1,5E-7
18,100;5,328;1,7E-7
18,200;5,330;1,8E-7
18,300;5,331;
